# This file is semicolon delimited
StanFunction; Arguments; ReturnType; Page
uniform_rng;(real alpha, real beta);real;505
variance;(matrix x);real;439
variance;(real x[]);real;424
variance;(row_vector x);real;439
variance;(vector x);real;439
von_mises_lpdf;(reals y \textbar \ reals mu, reals kappa);real;503
von_mises;~;real;503
von_mises_rng;(reals mu, reals kappa);real;503
weibull_cdf;(reals y, reals alpha, reals sigma);real;495
weibull_lccdf;(reals y \textbar \ reals alpha, reals sigma);real;495
weibull_lcdf;(reals y \textbar \ reals alpha, reals sigma);real;495
weibull_lpdf;(reals y \textbar \ reals alpha, reals sigma);real;495
weibull;~;real;495
weibull_rng;(real alpha, real sigma);real;495
wiener_lpdf;(reals y \textbar \ reals alpha, reals tau, reals beta reals delta);real;498
wiener;~;real;498
wishart_lpdf;(matrix W \textbar \ real nu, matrix Sigma);real;517
wishart;~;real;517
wishart_rng;(real nu, matrix Sigma);matrix;517
